date,bitcoin_unscaled,bitcoin_monthly,isPartial,scale,bitcoin
2017-02-01,71,,,0,
2017-02-02,71,,,0,
2017-02-03,77,,,0,
2017-02-04,70,,,0,
2017-02-05,62,3,FALSE,0.03,1.86
2017-02-06,65,3,,0.03,1.95
2017-02-07,65,3,,0.03,1.95
2017-02-08,73,3,,0.03,2.19
2017-02-09,77,3,,0.03,2.31
2017-02-10,74,3,,0.03,2.22
2017-02-11,65,3,,0.03,1.95
2017-02-12,60,2,FALSE,0.02,1.2
2017-02-13,63,2,,0.02,1.26
2017-02-14,57,2,,0.02,1.14
2017-02-15,57,2,,0.02,1.14
2017-02-16,63,2,,0.02,1.26
2017-02-17,56,2,,0.02,1.12
2017-02-18,62,2,,0.02,1.24
2017-02-19,55,3,FALSE,0.03,1.65
2017-02-20,54,3,,0.03,1.62
2017-02-21,78,3,,0.03,2.34
2017-02-22,71,3,,0.03,2.13
2017-02-23,86,3,,0.03,2.58
2017-02-24,100,3,,0.03,3
2017-02-25,76,3,,0.03,2.28
2017-02-26,66,4,FALSE,0.04,2.64
2017-02-27,70,4,,0.04,2.8
2017-02-28,76,4,,0.04,3.04
2017-03-01,46,4,,0.04,1.84
2017-03-02,73,4,,0.04,2.92
2017-03-03,78,4,,0.04,3.12
2017-03-04,59,4,,0.04,2.36
2017-03-05,50,4,FALSE,0.04,2
2017-03-06,56,4,,0.04,2.24
2017-03-07,57,4,,0.04,2.28
2017-03-08,56,4,,0.04,2.24
2017-03-09,54,4,,0.04,2.16
2017-03-10,100,4,,0.04,4
2017-03-11,75,4,,0.04,3
2017-03-12,56,3,FALSE,0.03,1.68
2017-03-13,53,3,,0.03,1.59
2017-03-14,47,3,,0.03,1.41
2017-03-15,50,3,,0.03,1.5
2017-03-16,52,3,,0.03,1.56
2017-03-17,52,3,,0.03,1.56
2017-03-18,64,3,,0.03,1.92
2017-03-19,54,3,FALSE,0.03,1.62
2017-03-20,52,3,,0.03,1.56
2017-03-21,48,3,,0.03,1.44
2017-03-22,47,3,,0.03,1.41
2017-03-23,45,3,,0.03,1.35
2017-03-24,50,3,,0.03,1.5
2017-03-25,49,3,,0.03,1.47
2017-03-26,49,3,FALSE,0.03,1.47
2017-03-27,46,3,,0.03,1.38
2017-03-28,42,3,,0.03,1.26
2017-03-29,46,3,,0.03,1.38
2017-03-30,39,3,,0.03,1.17
2017-03-31,41,3,,0.03,1.23
2017-04-01,80,3,,0.03,2.4
2017-04-02,72,3,FALSE,0.03,2.16
2017-04-03,80,3,,0.03,2.4
2017-04-04,86,3,,0.03,2.58
2017-04-05,78,3,,0.03,2.34
2017-04-06,82,3,,0.03,2.46
2017-04-07,86,3,,0.03,2.58
2017-04-08,72,3,,0.03,2.16
2017-04-09,71,3,FALSE,0.03,2.13
2017-04-10,74,3,,0.03,2.22
2017-04-11,81,3,,0.03,2.43
2017-04-12,78,3,,0.03,2.34
2017-04-13,81,3,,0.03,2.43
2017-04-14,66,3,,0.03,1.98
2017-04-15,72,3,,0.03,2.16
2017-04-16,76,3,FALSE,0.03,2.28
2017-04-17,75,3,,0.03,2.25
2017-04-18,87,3,,0.03,2.61
2017-04-19,74,3,,0.03,2.22
2017-04-20,75,3,,0.03,2.25
2017-04-21,80,3,,0.03,2.4
2017-04-22,76,3,,0.03,2.28
2017-04-23,67,3,FALSE,0.03,2.01
2017-04-24,72,3,,0.03,2.16
2017-04-25,84,3,,0.03,2.52
2017-04-26,93,3,,0.03,2.79
2017-04-27,100,3,,0.03,3
2017-04-28,92,3,,0.03,2.76
2017-04-29,85,3,,0.03,2.55
2017-04-30,83,4,FALSE,0.04,3.32
2017-05-01,21,4,,0.04,0.84
2017-05-02,22,4,,0.04,0.88
2017-05-03,21,4,,0.04,0.84
2017-05-04,31,4,,0.04,1.24
2017-05-05,24,4,,0.04,0.96
2017-05-06,20,4,,0.04,0.8
2017-05-07,20,7,FALSE,0.07,1.4
2017-05-08,23,7,,0.07,1.61
2017-05-09,32,7,,0.07,2.24
2017-05-10,29,7,,0.07,2.03
2017-05-11,34,7,,0.07,2.38
2017-05-12,36,7,,0.07,2.52
2017-05-13,36,7,,0.07,2.52
2017-05-14,30,7,FALSE,0.07,2.1
2017-05-15,36,7,,0.07,2.52
2017-05-16,35,7,,0.07,2.45
2017-05-17,29,7,,0.07,2.03
2017-05-18,26,7,,0.07,1.82
2017-05-19,35,7,,0.07,2.45
2017-05-20,36,7,,0.07,2.52
2017-05-21,37,17,FALSE,0.17,6.29
2017-05-22,74,17,,0.17,12.58
2017-05-23,71,17,,0.17,12.07
2017-05-24,78,17,,0.17,13.26
2017-05-25,100,17,,0.17,17
2017-05-26,83,17,,0.17,14.11
2017-05-27,61,17,,0.17,10.37
2017-05-28,45,10,FALSE,0.1,4.5
2017-05-29,41,10,,0.1,4.1
2017-05-30,45,10,,0.1,4.5
2017-05-31,45,10,,0.1,4.5
2017-06-01,71,10,,0.1,7.1
2017-06-02,61,10,,0.1,6.1
2017-06-03,61,10,,0.1,6.1
2017-06-04,50,10,FALSE,0.1,5
2017-06-05,62,10,,0.1,6.2
2017-06-06,95,10,,0.1,9.5
2017-06-07,85,10,,0.1,8.5
2017-06-08,71,10,,0.1,7.1
2017-06-09,71,10,,0.1,7.1
2017-06-10,66,10,,0.1,6.6
2017-06-11,69,11,FALSE,0.11,7.59
2017-06-12,97,11,,0.11,10.67
2017-06-13,77,11,,0.11,8.47
2017-06-14,77,11,,0.11,8.47
2017-06-15,100,11,,0.11,11
2017-06-16,72,11,,0.11,7.92
2017-06-17,56,11,,0.11,6.16
2017-06-18,49,8,FALSE,0.08,3.92
2017-06-19,54,8,,0.08,4.32
2017-06-20,65,8,,0.08,5.2
2017-06-21,70,8,,0.08,5.6
2017-06-22,60,8,,0.08,4.8
2017-06-23,56,8,,0.08,4.48
2017-06-24,53,8,,0.08,4.24
2017-06-25,48,8,FALSE,0.08,3.84
2017-06-26,63,8,,0.08,5.04
2017-06-27,74,8,,0.08,5.92
2017-06-28,64,8,,0.08,5.12
2017-06-29,56,8,,0.08,4.48
2017-06-30,49,8,,0.08,3.92
2017-07-01,56,8,,0.08,4.48
2017-07-02,65,6,FALSE,0.06,3.9
2017-07-03,58,6,,0.06,3.48
2017-07-04,63,6,,0.06,3.78
2017-07-05,73,6,,0.06,4.38
2017-07-06,68,6,,0.06,4.08
2017-07-07,68,6,,0.06,4.08
2017-07-08,61,6,,0.06,3.66
2017-07-09,53,7,FALSE,0.07,3.71
2017-07-10,78,7,,0.07,5.46
2017-07-11,78,7,,0.07,5.46
2017-07-12,81,7,,0.07,5.67
2017-07-13,73,7,,0.07,5.11
2017-07-14,74,7,,0.07,5.18
2017-07-15,82,7,,0.07,5.74
2017-07-16,90,8,FALSE,0.08,7.2
2017-07-17,86,8,,0.08,6.88
2017-07-18,92,8,,0.08,7.36
2017-07-19,84,8,,0.08,6.72
2017-07-20,100,8,,0.08,8
2017-07-21,100,8,,0.08,8
2017-07-22,79,8,,0.08,6.32
2017-07-23,79,8,FALSE,0.08,6.32
2017-07-24,79,8,,0.08,6.32
2017-07-25,88,8,,0.08,7.04
2017-07-26,81,8,,0.08,6.48
2017-07-27,78,8,,0.08,6.24
2017-07-28,91,8,,0.08,7.28
2017-07-29,70,8,,0.08,5.6
2017-07-30,66,12,FALSE,0.12,7.92
2017-07-31,93,12,,0.12,11.16
2017-08-01,100,12,,0.12,12
2017-08-02,79,12,,0.12,9.48
2017-08-03,52,12,,0.12,6.24
2017-08-04,49,12,,0.12,5.88
2017-08-05,64,12,,0.12,7.68
2017-08-06,48,11,FALSE,0.11,5.28
2017-08-07,59,11,,0.11,6.49
2017-08-08,63,11,,0.11,6.93
2017-08-09,57,11,,0.11,6.27
2017-08-10,52,11,,0.11,5.72
2017-08-11,55,11,,0.11,6.05
2017-08-12,68,11,,0.11,7.48
2017-08-13,80,16,FALSE,0.16,12.8
2017-08-14,97,16,,0.16,15.52
2017-08-15,94,16,,0.16,15.04
2017-08-16,79,16,,0.16,12.64
2017-08-17,77,16,,0.16,12.32
2017-08-18,71,16,,0.16,11.36
2017-08-19,65,16,,0.16,10.4
2017-08-20,59,12,FALSE,0.12,7.08
2017-08-21,59,12,,0.12,7.08
2017-08-22,69,12,,0.12,8.28
2017-08-23,64,12,,0.12,7.68
2017-08-24,60,12,,0.12,7.2
2017-08-25,58,12,,0.12,6.96
2017-08-26,51,12,,0.12,6.12
2017-08-27,43,12,FALSE,0.12,5.16
2017-08-28,49,12,,0.12,5.88
2017-08-29,63,12,,0.12,7.56
2017-08-30,62,12,,0.12,7.44
2017-08-31,68,12,,0.12,8.16
2017-09-01,69,12,,0.12,8.28
2017-09-02,68,12,,0.12,8.16
2017-09-03,59,12,FALSE,0.12,7.08
2017-09-04,67,12,,0.12,8.04
2017-09-05,67,12,,0.12,8.04
2017-09-06,56,12,,0.12,6.72
2017-09-07,49,12,,0.12,5.88
2017-09-08,60,12,,0.12,7.2
2017-09-09,46,12,,0.12,5.52
2017-09-10,42,15,FALSE,0.15,6.3
2017-09-11,48,15,,0.15,7.2
2017-09-12,60,15,,0.15,9
2017-09-13,80,15,,0.15,12
2017-09-14,100,15,,0.15,15
2017-09-15,99,15,,0.15,14.85
2017-09-16,59,15,,0.15,8.85
2017-09-17,51,11,FALSE,0.11,5.61
2017-09-18,60,11,,0.11,6.6
2017-09-19,58,11,,0.11,6.38
2017-09-20,47,11,,0.11,5.17
2017-09-21,54,11,,0.11,5.94
2017-09-22,49,11,,0.11,5.39
2017-09-23,38,11,,0.11,4.18
2017-09-24,34,9,FALSE,0.09,3.06
2017-09-25,44,9,,0.09,3.96
2017-09-26,41,9,,0.09,3.69
2017-09-27,46,9,,0.09,4.14
2017-09-28,44,9,,0.09,3.96
2017-09-29,42,9,,0.09,3.78
2017-09-30,39,9,,0.09,3.51
2017-10-01,36,8,FALSE,0.08,2.88
2017-10-02,39,8,,0.08,3.12
2017-10-03,40,8,,0.08,3.2
2017-10-04,36,8,,0.08,2.88
2017-10-05,37,8,,0.08,2.96
2017-10-06,36,8,,0.08,2.88
2017-10-07,34,8,,0.08,2.72
2017-10-08,36,13,FALSE,0.13,4.68
2017-10-09,46,13,,0.13,5.98
2017-10-10,50,13,,0.13,6.5
2017-10-11,45,13,,0.13,5.85
2017-10-12,84,13,,0.13,10.92
2017-10-13,100,13,,0.13,13
2017-10-14,63,13,,0.13,8.19
2017-10-15,61,15,FALSE,0.15,9.15
2017-10-16,65,15,,0.15,9.75
2017-10-17,62,15,,0.15,9.3
2017-10-18,64,15,,0.15,9.6
2017-10-19,60,15,,0.15,9
2017-10-20,76,15,,0.15,11.4
2017-10-21,80,15,,0.15,12
2017-10-22,62,15,FALSE,0.15,9.3
2017-10-23,72,15,,0.15,10.8
2017-10-24,80,15,,0.15,12
2017-10-25,73,15,,0.15,10.95
2017-10-26,71,15,,0.15,10.65
2017-10-27,62,15,,0.15,9.3
2017-10-28,55,15,,0.15,8.25
2017-10-29,57,22,FALSE,0.22,12.54
2017-10-30,67,22,,0.22,14.74
2017-10-31,85,22,,0.22,18.7
2017-11-01,19,22,,0.22,4.18
2017-11-02,28,22,,0.22,6.16
2017-11-03,23,22,,0.22,5.06
2017-11-04,19,22,,0.22,4.18
2017-11-05,18,24,FALSE,0.24,4.32
2017-11-06,19,24,,0.24,4.56
2017-11-07,18,24,,0.24,4.32
2017-11-08,20,24,,0.24,4.8
2017-11-09,18,24,,0.24,4.32
2017-11-10,23,24,,0.24,5.52
2017-11-11,22,24,,0.24,5.28
2017-11-12,27,26,FALSE,0.26,7.02
2017-11-13,22,26,,0.26,5.72
2017-11-14,18,26,,0.26,4.68
2017-11-15,19,26,,0.26,4.94
2017-11-16,19,26,,0.26,4.94
2017-11-17,25,26,,0.26,6.5
2017-11-18,20,26,,0.26,5.2
2017-11-19,18,23,FALSE,0.23,4.14
2017-11-20,21,23,,0.23,4.83
2017-11-21,23,23,,0.23,5.29
2017-11-22,20,23,,0.23,4.6
2017-11-23,17,23,,0.23,3.91
2017-11-24,18,23,,0.23,4.14
2017-11-25,20,23,,0.23,4.6
2017-11-26,30,62,FALSE,0.62,18.6
2017-11-27,45,62,,0.62,27.9
2017-11-28,56,62,,0.62,34.72
2017-11-29,100,62,,0.62,62
2017-11-30,80,62,,0.62,49.6
2017-12-01,34,62,,0.62,21.08
2017-12-02,23,62,,0.62,14.26
2017-12-03,22,93,FALSE,0.93,20.46
2017-12-04,28,93,,0.93,26.04
2017-12-05,28,93,,0.93,26.04
2017-12-06,41,93,,0.93,38.13
2017-12-07,100,93,,0.93,93
2017-12-08,84,93,,0.93,78.12
2017-12-09,54,93,,0.93,50.22
2017-12-10,49,85,FALSE,0.85,41.65
2017-12-11,56,85,,0.85,47.6
2017-12-12,57,85,,0.85,48.45
2017-12-13,47,85,,0.85,39.95
2017-12-14,40,85,,0.85,34
2017-12-15,36,85,,0.85,30.6
2017-12-16,37,85,,0.85,31.45
2017-12-17,39,100,FALSE,1,39
2017-12-18,42,100,,1,42
2017-12-19,42,100,,1,42
2017-12-20,67,100,,1,67
2017-12-21,44,100,,1,44
2017-12-22,91,100,,1,91
2017-12-23,54,100,,1,54
2017-12-24,37,58,FALSE,0.58,21.46
2017-12-25,31,58,,0.58,17.98
2017-12-26,33,58,,0.58,19.14
2017-12-27,30,58,,0.58,17.4
2017-12-28,31,58,,0.58,17.98
2017-12-29,26,58,,0.58,15.08
2017-12-30,25,58,,0.58,14.5
2017-12-31,19,40,FALSE,0.4,7.6
2018-01-01,30,40,,0.4,12
2018-01-02,46,40,,0.4,18.4
2018-01-03,47,40,,0.4,18.8
2018-01-04,44,40,,0.4,17.6
2018-01-05,43,40,,0.4,17.2
2018-01-06,37,40,,0.4,14.8
2018-01-07,34,40,FALSE,0.4,13.6
2018-01-08,43,40,,0.4,17.2
2018-01-09,39,40,,0.4,15.6
2018-01-10,41,40,,0.4,16.4
2018-01-11,49,40,,0.4,19.6
2018-01-12,36,40,,0.4,14.4
2018-01-13,28,40,,0.4,11.2
2018-01-14,26,51,FALSE,0.51,13.26
2018-01-15,25,51,,0.51,12.75
2018-01-16,71,51,,0.51,36.21
2018-01-17,100,51,,0.51,51
2018-01-18,63,51,,0.51,32.13
2018-01-19,42,51,,0.51,21.42
2018-01-20,30,51,,0.51,15.3
2018-01-21,27,34,FALSE,0.34,9.18
2018-01-22,36,34,,0.34,12.24
2018-01-23,37,34,,0.34,12.58
2018-01-24,32,34,,0.34,10.88
2018-01-25,32,34,,0.34,10.88
2018-01-26,30,34,,0.34,10.2
2018-01-27,25,34,,0.34,8.5
2018-01-28,23,35,FALSE,0.35,8.05
2018-01-29,23,35,,0.35,8.05
2018-01-30,28,35,,0.35,9.8
2018-01-31,31,35,,0.35,10.85
2018-02-01,56,35,,0.35,19.6
2018-02-02,82,35,,0.35,28.7
2018-02-03,45,35,,0.35,15.75
2018-02-04,35,44,FALSE,0.44,15.4
2018-02-05,81,44,,0.44,35.64
2018-02-06,100,44,,0.44,44
2018-02-07,60,44,,0.44,26.4
2018-02-08,48,44,,0.44,21.12
2018-02-09,37,44,,0.44,16.28
2018-02-10,30,44,,0.44,13.2
2018-02-11,28,23,FALSE,0.23,6.44
2018-02-12,30,23,,0.23,6.9
2018-02-13,27,23,,0.23,6.21
2018-02-14,27,23,,0.23,6.21
2018-02-15,29,23,,0.23,6.67
2018-02-16,28,23,,0.23,6.44
2018-02-17,26,23,,0.23,5.98
2018-02-18,28,20,FALSE,0.2,5.6
2018-02-19,24,20,,0.2,4.8
2018-02-20,28,20,,0.2,5.6
2018-02-21,28,20,,0.2,5.6
2018-02-22,25,20,,0.2,5
2018-02-23,22,20,,0.2,4.4
2018-02-24,20,20,,0.2,4
2018-02-25,19,16,FALSE,0.16,3.04
2018-02-26,21,16,,0.16,3.36
2018-02-27,22,16,,0.16,3.52
2018-02-28,22,16,,0.16,3.52
2018-03-01,75,16,,0.16,12
2018-03-02,73,16,,0.16,11.68
2018-03-03,68,16,,0.16,10.88
2018-03-04,65,16,FALSE,0.16,10.4
2018-03-05,70,16,,0.16,11.2
2018-03-06,74,16,,0.16,11.84
2018-03-07,85,16,,0.16,13.6
2018-03-08,86,16,,0.16,13.76
2018-03-09,97,16,,0.16,15.52
2018-03-10,71,16,,0.16,11.36
2018-03-11,69,17,FALSE,0.17,11.73
2018-03-12,79,17,,0.17,13.43
2018-03-13,74,17,,0.17,12.58
2018-03-14,88,17,,0.17,14.96
2018-03-15,100,17,,0.17,17
2018-03-16,83,17,,0.17,14.11
2018-03-17,72,17,,0.17,12.24
2018-03-18,93,15,FALSE,0.15,13.95
2018-03-19,85,15,,0.15,12.75
2018-03-20,74,15,,0.15,11.1
2018-03-21,74,15,,0.15,11.1
2018-03-22,74,15,,0.15,11.1
2018-03-23,69,15,,0.15,10.35
2018-03-24,56,15,,0.15,8.4
2018-03-25,53,16,FALSE,0.16,8.48
2018-03-26,70,16,,0.16,11.2
2018-03-27,72,16,,0.16,11.52
2018-03-28,70,16,,0.16,11.2
2018-03-29,82,16,,0.16,13.12
2018-03-30,96,16,,0.16,15.36
2018-03-31,64,16,,0.16,10.24
2018-04-01,92,15,FALSE,0.15,13.8
2018-04-02,100,15,,0.15,15
2018-04-03,93,15,,0.15,13.95
2018-04-04,87,15,,0.15,13.05
2018-04-05,87,15,,0.15,13.05
2018-04-06,88,15,,0.15,13.2
2018-04-07,71,15,,0.15,10.65
2018-04-08,65,13,FALSE,0.13,8.45
2018-04-09,85,13,,0.13,11.05
2018-04-10,77,13,,0.13,10.01
2018-04-11,72,13,,0.13,9.36
2018-04-12,95,13,,0.13,12.35
2018-04-13,91,13,,0.13,11.83
2018-04-14,68,13,,0.13,8.84
2018-04-15,65,12,FALSE,0.12,7.8
2018-04-16,74,12,,0.12,8.88
2018-04-17,75,12,,0.12,9
2018-04-18,75,12,,0.12,9
2018-04-19,74,12,,0.12,8.88
2018-04-20,75,12,,0.12,9
2018-04-21,68,12,,0.12,8.16
2018-04-22,66,12,FALSE,0.12,7.92
2018-04-23,78,12,,0.12,9.36
2018-04-24,97,12,,0.12,11.64
2018-04-25,84,12,,0.12,10.08
2018-04-26,72,12,,0.12,8.64
2018-04-27,69,12,,0.12,8.28
2018-04-28,54,12,,0.12,6.48
2018-04-29,53,10,FALSE,0.1,5.3
2018-04-30,64,10,,0.1,6.4
2018-05-01,82,10,,0.1,8.2
2018-05-02,79,10,,0.1,7.9
2018-05-03,91,10,,0.1,9.1
2018-05-04,85,10,,0.1,8.5
2018-05-05,84,10,,0.1,8.4
2018-05-06,77,11,FALSE,0.11,8.47
2018-05-07,91,11,,0.11,10.01
2018-05-08,87,11,,0.11,9.57
2018-05-09,87,11,,0.11,9.57
2018-05-10,77,11,,0.11,8.47
2018-05-11,100,11,,0.11,11
2018-05-12,74,11,,0.11,8.14
2018-05-13,73,10,FALSE,0.1,7.3
2018-05-14,80,10,,0.1,8
2018-05-15,79,10,,0.1,7.9
2018-05-16,76,10,,0.1,7.6
2018-05-17,77,10,,0.1,7.7
2018-05-18,79,10,,0.1,7.9
2018-05-19,60,10,,0.1,6
2018-05-20,64,10,FALSE,0.1,6.4
2018-05-21,70,10,,0.1,7
2018-05-22,74,10,,0.1,7.4
2018-05-23,94,10,,0.1,9.4
2018-05-24,97,10,,0.1,9.7
2018-05-25,74,10,,0.1,7.4
2018-05-26,63,10,,0.1,6.3
2018-05-27,64,9,FALSE,0.09,5.76
2018-05-28,71,9,,0.09,6.39
2018-05-29,75,9,,0.09,6.75
2018-05-30,75,9,,0.09,6.75
2018-05-31,74,9,,0.09,6.66
2018-06-01,52,9,,0.09,4.68
2018-06-02,49,9,,0.09,4.41
2018-06-03,49,8,FALSE,0.08,3.92
2018-06-04,56,8,,0.08,4.48
2018-06-05,51,8,,0.08,4.08
2018-06-06,52,8,,0.08,4.16
2018-06-07,50,8,,0.08,4
2018-06-08,49,8,,0.08,3.92
2018-06-09,46,8,,0.08,3.68
2018-06-10,72,12,FALSE,0.12,8.64
2018-06-11,100,12,,0.12,12
2018-06-12,72,12,,0.12,8.64
2018-06-13,90,12,,0.12,10.8
2018-06-14,82,12,,0.12,9.84
2018-06-15,62,12,,0.12,7.44
2018-06-16,49,12,,0.12,5.88
2018-06-17,49,9,FALSE,0.09,4.41
2018-06-18,60,9,,0.09,5.4
2018-06-19,58,9,,0.09,5.22
2018-06-20,59,9,,0.09,5.31
2018-06-21,52,9,,0.09,4.68
2018-06-22,73,9,,0.09,6.57
2018-06-23,66,9,,0.09,5.94
2018-06-24,74,10,FALSE,0.1,7.4
2018-06-25,67,10,,0.1,6.7
2018-06-26,59,10,,0.1,5.9
2018-06-27,62,10,,0.1,6.2
2018-06-28,56,10,,0.1,5.6
2018-06-29,79,10,,0.1,7.9
2018-06-30,71,10,,0.1,7.1
2018-07-01,65,8,FALSE,0.08,5.2
2018-07-02,80,8,,0.08,6.4
2018-07-03,63,8,,0.08,5.04
2018-07-04,60,8,,0.08,4.8
2018-07-05,63,8,,0.08,5.04
2018-07-06,63,8,,0.08,5.04
2018-07-07,47,8,,0.08,3.76
2018-07-08,60,8,FALSE,0.08,4.8
2018-07-09,59,8,,0.08,4.72
2018-07-10,67,8,,0.08,5.36
2018-07-11,62,8,,0.08,4.96
2018-07-12,64,8,,0.08,5.12
2018-07-13,61,8,,0.08,4.88
2018-07-14,58,8,,0.08,4.64
2018-07-15,47,9,FALSE,0.09,4.23
2018-07-16,62,9,,0.09,5.58
2018-07-17,89,9,,0.09,8.01
2018-07-18,97,9,,0.09,8.73
2018-07-19,76,9,,0.09,6.84
2018-07-20,75,9,,0.09,6.75
2018-07-21,58,9,,0.09,5.22
2018-07-22,53,10,FALSE,0.1,5.3
2018-07-23,72,10,,0.1,7.2
2018-07-24,100,10,,0.1,10
2018-07-25,93,10,,0.1,9.3
2018-07-26,84,10,,0.1,8.4
2018-07-27,86,10,,0.1,8.6
2018-07-28,61,10,,0.1,6.1
2018-07-29,61,9,FALSE,0.09,5.49
2018-07-30,76,9,,0.09,6.84
2018-07-31,76,9,,0.09,6.84
2018-08-01,76,9,,0.09,6.84
2018-08-02,64,9,,0.09,5.76
2018-08-03,75,9,,0.09,6.75
2018-08-04,66,9,,0.09,5.94
2018-08-05,64,9,FALSE,0.09,5.76
2018-08-06,71,9,,0.09,6.39
2018-08-07,75,9,,0.09,6.75
2018-08-08,100,9,,0.09,9
2018-08-09,80,9,,0.09,7.2
2018-08-10,76,9,,0.09,6.84
2018-08-11,72,9,,0.09,6.48
2018-08-12,61,9,FALSE,0.09,5.49
2018-08-13,72,9,,0.09,6.48
2018-08-14,100,9,,0.09,9
2018-08-15,85,9,,0.09,7.65
2018-08-16,75,9,,0.09,6.75
2018-08-17,69,9,,0.09,6.21
2018-08-18,58,9,,0.09,5.22
2018-08-19,51,8,FALSE,0.08,4.08
2018-08-20,63,8,,0.08,5.04
2018-08-21,69,8,,0.08,5.52
2018-08-22,74,8,,0.08,5.92
2018-08-23,69,8,,0.08,5.52
2018-08-24,62,8,,0.08,4.96
2018-08-25,60,8,,0.08,4.8
2018-08-26,51,8,FALSE,0.08,4.08
2018-08-27,65,8,,0.08,5.2
2018-08-28,75,8,,0.08,6
2018-08-29,69,8,,0.08,5.52
2018-08-30,57,8,,0.08,4.56
2018-08-31,56,8,,0.08,4.48
2018-09-01,62,8,,0.08,4.96
2018-09-02,61,9,FALSE,0.09,5.49
2018-09-03,57,9,,0.09,5.13
2018-09-04,65,9,,0.09,5.85
2018-09-05,84,9,,0.09,7.56
2018-09-06,100,9,,0.09,9
2018-09-07,76,9,,0.09,6.84
2018-09-08,62,9,,0.09,5.58
2018-09-09,58,8,FALSE,0.08,4.64
2018-09-10,69,8,,0.08,5.52
2018-09-11,74,8,,0.08,5.92
2018-09-12,78,8,,0.08,6.24
2018-09-13,76,8,,0.08,6.08
2018-09-14,60,8,,0.08,4.8
2018-09-15,51,8,,0.08,4.08
2018-09-16,48,7,FALSE,0.07,3.36
2018-09-17,55,7,,0.07,3.85
2018-09-18,59,7,,0.07,4.13
2018-09-19,59,7,,0.07,4.13
2018-09-20,59,7,,0.07,4.13
2018-09-21,64,7,,0.07,4.48
2018-09-22,55,7,,0.07,3.85
2018-09-23,51,6,FALSE,0.06,3.06
2018-09-24,56,6,,0.06,3.36
2018-09-25,57,6,,0.06,3.42
2018-09-26,59,6,,0.06,3.54
2018-09-27,56,6,,0.06,3.36
2018-09-28,55,6,,0.06,3.3
2018-09-29,46,6,,0.06,2.76
2018-09-30,45,5,FALSE,0.05,2.25
2018-10-01,63,5,,0.05,3.15
2018-10-02,68,5,,0.05,3.4
2018-10-03,64,5,,0.05,3.2
